x,y,z
32,-66,34
16,-12,-14
-20,-4,-10
-5,-31,-2
4,-31,-3
-7,-25,5
6,-25,7
-8,-82,5
-20,-100,8
14,-100,10
-32,-51,-14
35,-60,-12
-9,-68,40
43,-78,-7
38,30,-12
-8,-49,27
-31,10,10
31,16,-4
13,-45,0
-5,10,-6
4,10,-3
24,0,-16
-43,14,10
44,17,23
-51,25,1
43,28,-2
-42,22,-9
-44,12,36
50,3,0
45,2,38
-5,-1,59
8,10,45
11,-7,66
-39,-55,50
27,-83,21
-33,-6,54
-44,-3,44
54,-3,35
15,6,15
-10,3,13
24,1,9
-25,-1,5
-13,-41,-3
24,-31,-8
-8,-67,40
-37,0,-16
-42,37,-9
-13,-3,-13
-23,32,-9
25,39,-6
-33,8,14
-37,8,-9
18,1,-9
18,-12,-6
-43,32,4
0,38,6
4,28,18
12,2,24
-4,-8,28
0,-36,24
0,-12,-14
-10,8,-6
10,12,-4
14,0,4
-16,-4,-10
14,-4,-8
2,-6,4
12,2,24
0,-8,-12
30,-28,-6
-24,28,-16
34,22,-4
-18,28,-2
22,30,-12
-28,6,30
48,8,28
-42,-2,32
42,2,34
-36,14,-10
32,14,-12
-34,-38,34
32,-40,36
-44,-44,-14
42,-48,-16
30,-36,2
-34,-34,-2
-22,-72,-30
16,-76,-22
-27.57,-84.2,22.14
-53.9,-74.12,-6.42
-46.04,-83.92,14.59
-48.44,-61.68,0.1
-36.24,-86.56,20.28
-49.64,-68.04,-10.46
-26.25,-58.3,46.45
-62.15,-26.39,33.82
-26.28,-68.39,41.85
-64.48,-27.64,20.54
-29.62,-80.08,31.86
-66.36,-22.28,43.57
-40.41,-40.58,41.58
-0.16,-68.35,-28.08
-0.06,38.55,1.69
-31.57,30.5,-13.79
-2.2,46.3,4.32
-30.42,-72.48,55.77
-9.95,-86,47.8
-2.03,-20.27,4.18
-14.15,-0.18,-9.93
-18.59,53.61,-8.45
-16.31,57.84,2.29
-51.74,7.94,10.08
0.32,21.69,28
-2.09,-28.33,-1.75
-28.5,33.62,-26.48
-39.86,-88.31,-9.74
-39.93,50.08,12.43
-24,-4.44,-20.55
-11.92,10.23,-2.03
-9.86,-25.56,-17.58
-50.36,1.41,31.99
-28.53,1.64,-35.64
-44.32,-32.5,-9.58
26.57,-86.37,30.4
25.6,-62.58,43.75
52.04,-67.81,-2.12
25.57,-70.44,40.05
36.59,-52.37,60.48
23.78,-72.45,-15.75
50.02,-82.08,6.05
32,-79.55,34.12
31.83,-84.09,20
23.54,-63.99,51.77
13.87,-52.04,-26.57
27.93,-56.24,-26.39
37.75,36.45,0.13
4.4,36.31,11.92
21.67,19.79,6.53
16.01,-6.22,-18.81
31.99,-6.32,48.16
20.41,-74.12,58.43
33.57,-35.86,-3.85
28.39,-34.22,14
51.71,-41.82,-22.62
14.27,-16.19,12.46
50.05,7.83,26.28
34.35,-1.56,64.46
16.35,-25.52,4.38
24.47,0.11,-31.91
-51.54,-80.31,7.6
-53.86,-76.04,-3.99
-48.4,-79.96,-0.33
-28.36,-96.26,42.4
-15.63,-100.11,23.51
4.22,-81.72,58.34
-38.08,-51.78,-32.43
-19.82,-74.44,-46.19
-4.19,34.46,15.61
-0.45,-96.34,28.49
-39.5,-97.73,15.84
-18.42,-71.61,64.44
-7.74,-84.51,52.09
-48.52,58.12,18.5
-23.98,-2.11,-18.54
-19.54,-4.45,-9.42
-9.53,-73.45,-1.64
-47.59,-43.67,-14.02
-64.35,-1.52,35.88
-28.14,-54.1,68.48
-15.87,-14.4,21.76
54.17,-68.01,-4.38
42.31,-77.72,-4.34
37.89,-76.34,-12.25
16.27,-74.29,-12.08
17.94,-98.3,29.49
20.24,-88.54,41.93
46.28,10.46,-14.25
41.98,-53.96,-25.73
32.23,34.44,-9.66
29.8,6.2,-35.96
28.09,30.35,4.26
19.79,-2.16,24.43
5.44,2.1,1.84
-9.85,0.8,-11.22
-22.76,-42.62,-15.67
31.57,-70.76,1.88
48,-72,-2
44,8,28
10,-26,-14
24,-42,-42
4,8,28
16,-2,-10
36,-2,50
-18,-44,-42
-26,-2,50
-48,8,30
-24,8,-16
-8,-4,-10
20,0,-10
-20,0,-10
-6,0,-12
-34,18,-16
-4,36,0
10,36,-2
-10,26,22
8,24,24
-8,12,36
8,16,28
-10,-26,36
16,-20,36
-10,-50,22
4,-44,14
-4,-30,-24
6,-30,-24
-16,0,4
14,6,-2
-10,-14,4
8,-16,0
-6,0,-8
6,0,-6
-24,-28,-8
-44,28,36
26,22,36
-26,50,10
38,50,10
-32,36,16
34,46,22
-30,18,4
30,18,2
-34,-2,6
38,-6,2
-32,-12,2
34,-10,8
-50,-14,0
50,-20,4
-54,-56,6
46,-56,6
-52,-36,18
48,-26,26
12,-56,8
-22,-66,-18
14,-70,-32
0,38,6
4,28,18
12,2,24
-4,-8,28
0,-36,24
0,-12,-14
-10,8,-6
10,12,-4
14,0,4
-16,-4,-10
14,-4,-8
2,-6,4
12,2,24
0,-8,-12
30,-28,-6
-24,28,-16
34,22,-4
-18,28,-2
22,30,-12
-28,6,30
48,8,28
-42,-2,32
42,2,34
-36,14,-10
32,14,-12
-34,-38,34
32,-40,36
-44,-44,-14
42,-48,-16
30,-36,2
-34,-34,-2
-22,-72,-30
16,-76,-22
36,42,34
-8,2,-12
28,16,-4
28,16,-4
16,-88,8
-43.94,-61.37,14.56
7.39,71.65,-0.6
24.66,-19.26,-21.03
-11.35,-3.05,39.61
13.95,3.32,-8.51
-60.14,-43.89,18.71
56.38,-51.21,2.88
-26.9,55.01,18.44
5.28,-12.22,-13.55
-67.16,-15.13,-17.63
46.37,-78.62,-25.61
-50.97,17.67,-12.19
48.4,17.81,-16.14
12.2,28.22,28.27
-3.29,3.57,-4.88
-7.69,-27.68,-17.4
7.15,-51.6,-44.43
52,-17,0
52,0,-8
50,3,-15
-56,-17,0
-53,0,-8
-50,-10,-5
0,-10,0
-6,-30,-8
12,-27,-10
2,-24,0
-23,-10,-12
-13,-14,-20
-18,-2,-10
22,10,0
54,-14,0
54,-2,-5
62,-27,5
-53,-14,0
-53,-2,-8
-53,-22,-5
-18,-2,-12
14,-27,-10
-13,-14,-18
-6,-30,-8
-16,-27,-12
-3,-10,-10
7,-10,-5
0,-7,2
14,0,-12
17,3,2
36,18,-9
6,12,42
24,-57,6
42,-12,39
57,-21,27
9,-12,0
9,6,-3
12,-63,-21
51,-48,6
3,-36,-45
24,-3,-12
-39,0,-3
0,-3,42
-15,-66,9
-60,-18,30
-57,3,31
-9,-15,0
-9,-63,-21
-12,0,-3
-51,-60,6
-6,-39,-51
-18,0,-15
-6,36,6
42,-74,-10
-44,-72,-4
-2,-62,24
30,32,-8
-30,16,32
46,18,-24
-38,8,32
20,-2,-10
-8,64,28
-40,26,-18
-2,-54,-10
-46,-8,-26
10,6,-12
-12,4,-12
